fotograma,tipo_oggetto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
1,car,0.81,car_-1,417,212,640,421,si,0.00,497,317,575,343,
1,person,0.77,person_-1,750,201,796,360,no,0,0,0,0,0,
1,person,0.76,person_-1,620,197,673,356,no,0,0,0,0,0,
1,person,0.69,person_-1,689,196,742,362,no,0,0,0,0,0,
2,car,0.80,car_1,417,212,641,421,si,1.00,496,316,575,343,HC
2,person,0.73,person_3,749,201,796,360,no,0,0,0,0,0,
2,person,0.76,person_4,619,196,672,355,no,0,0,0,0,0,
2,person,0.69,person_5,688,196,741,361,no,0,0,0,0,0,
3,car,0.78,car_1,417,212,641,420,si,1.00,496,316,576,343,HC
3,person,0.74,person_3,747,201,796,360,no,0,0,0,0,0,
3,person,0.76,person_4,619,197,672,353,no,0,0,0,0,0,
3,person,0.68,person_5,687,195,739,361,no,0,0,0,0,0,
4,car,0.77,car_1,417,214,640,421,si,0.50,496,316,576,343,HC
4,person,0.71,person_3,745,201,795,360,no,0,0,0,0,0,
4,person,0.72,person_4,616,199,671,353,no,0,0,0,0,0,
4,person,0.67,person_5,686,195,737,361,no,0,0,0,0,0,
5,car,0.78,car_1,417,215,642,421,si,0.67,496,317,576,344,W
5,person,0.71,person_3,743,201,792,360,no,0,0,0,0,0,
5,person,0.71,person_4,615,200,670,354,no,0,0,0,0,0,
5,person,0.60,person_5,687,197,734,360,no,0,0,0,0,0,
6,car,0.78,car_1,417,214,644,421,si,0.50,496,317,575,344,W
6,person,0.72,person_3,741,200,792,359,no,0,0,0,0,0,
6,person,0.73,person_4,614,199,669,353,no,0,0,0,0,0,
6,person,0.66,person_5,687,195,733,360,no,0,0,0,0,0,
7,car,0.78,car_1,415,214,635,421,si,0.40,496,317,575,344,W
7,person,0.74,person_3,740,200,791,359,no,0,0,0,0,0,
7,person,0.74,person_4,613,198,669,353,no,0,0,0,0,0,
7,person,0.66,person_5,687,193,733,359,no,0,0,0,0,0,
8,car,0.77,car_1,415,213,632,422,si,0.33,496,316,578,344,W
8,person,0.72,person_3,739,200,791,359,no,0,0,0,0,0,
8,person,0.73,person_4,612,198,669,352,no,0,0,0,0,0,
